,Name,Year,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Count Hisp/Latino,Counb Black/AfAm,Count AmIndian,Count Asian,Count White,Count Other Race,Zipcode
0,ZCTA5 77002,2012,57165.0,11473.0,31.8,32514.0,813.0,3175.0,4002.0,6.0,232.0,4018.0,0.0,77002
1,ZCTA5 77003,2012,37664.0,10215.0,32.9,27248.0,3868.0,5351.0,2063.0,0.0,443.0,2318.0,26.0,77003
2,ZCTA5 77004,2012,39804.0,29853.0,31.6,29787.0,6957.0,3358.0,16520.0,10.0,2149.0,7198.0,120.0,77004
3,ZCTA5 77005,2012,153041.0,25740.0,38.5,88579.0,635.0,2076.0,746.0,25.0,2484.0,19856.0,60.0,77005
4,ZCTA5 77006,2012,63360.0,19856.0,36.9,60795.0,2647.0,3816.0,695.0,38.0,1127.0,13874.0,66.0,77006
5,ZCTA5 77007,2012,90860.0,29545.0,34.6,66456.0,2756.0,8334.0,1280.0,19.0,1958.0,17260.0,149.0,77007
6,ZCTA5 77008,2012,65457.0,29424.0,37.1,47859.0,3018.0,9830.0,1022.0,66.0,1109.0,16924.0,30.0,77008
7,ZCTA5 77009,2012,42944.0,39050.0,33.6,26172.0,10288.0,26147.0,2985.0,89.0,179.0,9212.0,81.0,77009
8,ZCTA5 77010,2012,149444.0,342.0,50.6,212325.0,52.0,62.0,8.0,0.0,14.0,258.0,0.0,77010
9,ZCTA5 77011,2012,27458.0,19396.0,32.7,12757.0,6273.0,18058.0,341.0,59.0,0.0,932.0,0.0,77011
10,ZCTA5 77012,2012,33035.0,21619.0,30.1,12696.0,5900.0,19911.0,596.0,20.0,494.0,589.0,0.0,77012
11,ZCTA5 77019,2012,87582.0,19450.0,36.8,88210.0,1726.0,2788.0,1759.0,0.0,1094.0,13598.0,0.0,77019
12,ZCTA5 77020,2012,28217.0,26381.0,31.7,13659.0,9134.0,17583.0,7183.0,61.0,194.0,1354.0,0.0,77020
13,ZCTA5 77021,2012,32096.0,25640.0,34.4,21197.0,7899.0,4450.0,19145.0,14.0,418.0,1461.0,21.0,77021
14,ZCTA5 77023,2012,37735.0,30696.0,30.9,16310.0,7592.0,26405.0,476.0,8.0,351.0,3241.0,69.0,77023
15,ZCTA5 77025,2012,64202.0,25935.0,33.8,47836.0,2869.0,4673.0,3455.0,24.0,3447.0,14076.0,53.0,77025
16,ZCTA5 77026,2012,20200.0,23963.0,32.8,11566.0,10858.0,9040.0,14300.0,15.0,64.0,445.0,0.0,77026
17,ZCTA5 77027,2012,81202.0,14745.0,37.9,79977.0,869.0,2387.0,685.0,0.0,1077.0,10460.0,91.0,77027
18,ZCTA5 77030,2012,67790.0,11184.0,32.8,58761.0,1369.0,1086.0,478.0,67.0,2732.0,6529.0,39.0,77030
19,ZCTA5 77002,2013,64093.0,11602.0,32.5,37292.0,848.0,3233.0,3941.0,9.0,255.0,4088.0,0.0,77002
20,ZCTA5 77003,2013,36412.0,10617.0,30.8,27263.0,4130.0,5615.0,1885.0,0.0,587.0,2479.0,29.0,77003
21,ZCTA5 77004,2013,41983.0,31593.0,30.3,29776.0,7349.0,3903.0,16658.0,0.0,2693.0,7663.0,80.0,77004
